iter	Passed	Remaining
0	3	3637
1	6	3011
2	7	2544
3	9	2260
4	10	2100
5	13	2162
6	15	2175
7	17	2108
8	18	2013
9	19	1955
10	21	1901
11	22	1860
12	25	1932
13	34	2434
14	36	2406
15	38	2395
16	40	2360
17	47	2608
18	49	2545
19	51	2521
20	53	2476
21	55	2469
22	58	2489
23	60	2452
24	61	2406
25	62	2359
26	64	2312
27	65	2274
28	66	2236
29	68	2203
30	69	2170
31	71	2154
32	73	2164
33	75	2144
34	77	2124
35	78	2098
36	79	2078
37	81	2054
38	82	2036
39	84	2018
40	86	2018
41	88	2027
42	90	2012
43	91	1988
44	92	1970
45	94	1951
46	95	1933
47	96	1916
48	97	1900
49	99	1882
50	101	1883
51	103	1888
52	105	1878
53	106	1861
54	107	1847
55	108	1832
56	109	1819
57	111	1807
58	112	1796
59	114	1789
60	117	1803
61	119	1800
62	120	1790
63	121	1783
64	123	1775
65	124	1765
66	126	1757
67	127	1751
68	130	1758
69	133	1771
70	135	1772
71	137	1773
72	139	1773
73	141	1770
74	143	1767
75	146	1783
76	148	1783
77	150	1783
78	152	1780
79	154	1778
80	156	1776
81	158	1778
82	161	1788
83	164	1798
84	166	1796
85	169	1798
86	171	1798
87	174	1811
88	176	1808
89	178	1806
90	180	1802
91	183	1809
92	188	1838
93	190	1840
94	192	1832
95	194	1829
96	196	1827
97	197	1818
98	199	1814
99	260	2348
100	262	2338
101	269	2375
102	272	2369
103	274	2363
104	276	2357
105	278	2347
106	283	2366
107	301	2493
108	304	2485
109	306	2477
110	307	2466
111	321	2545
112	323	2537
113	326	2534
114	331	2548
115	333	2541
116	335	2528
117	337	2520
118	339	2516
119	346	2540
120	348	2531
121	350	2521
122	352	2513
123	371	2622
124	376	2635
125	379	2629
126	381	2620
127	383	2611
128	385	2600
129	387	2594
130	390	2589
131	392	2582
132	395	2575
133	397	2566
134	399	2558
135	413	2626
136	415	2620
137	422	2639
138	424	2631
139	427	2624
140	430	2620
141	436	2638
142	439	2631
143	441	2621
144	443	2614
145	445	2605
146	452	2624
147	454	2616
148	457	2612
149	458	2599
150	460	2590
151	464	2593
152	467	2590
153	470	2582
154	504	2751
155	508	2752
156	512	2752
157	515	2747
158	517	2739
159	520	2733
160	526	2741
161	528	2734
162	531	2726
163	533	2720
164	538	2724
165	541	2718
166	544	2716
167	546	2706
168	548	2696
169	551	2692
170	553	2684
171	555	2673
172	556	2662
173	558	2650
174	559	2639
175	562	2631
176	564	2625
177	567	2622
178	569	2613
179	571	2604
180	573	2595
181	575	2588
182	578	2580
183	583	2586
184	585	2577
185	586	2566
186	588	2558
187	590	2548
188	592	2540
189	594	2533
190	596	2525
191	597	2516
192	599	2505
193	600	2495
194	601	2483
195	603	2473
196	604	2462
197	605	2453
198	606	2442
199	608	2434
200	611	2429
201	612	2419
202	613	2410
203	614	2399
204	616	2391
205	617	2381
206	619	2372
207	620	2364
208	622	2356
209	625	2352
210	626	2343
211	628	2334
212	629	2325
213	630	2316
214	631	2307
215	633	2298
216	634	2289
217	636	2281
218	638	2275
219	640	2270
220	641	2262
221	643	2254
222	644	2245
223	645	2237
224	647	2229
225	648	2220
226	650	2215
227	653	2212
228	655	2206
229	657	2199
230	658	2192
231	660	2185
232	661	2177
233	663	2170
234	664	2163
235	665	2155
236	669	2155
237	671	2148
238	672	2141
239	674	2136
240	676	2129
241	678	2125
242	680	2121
243	683	2118
244	685	2112
245	686	2105
246	688	2098
247	690	2093
248	692	2087
249	694	2082
250	697	2080
251	699	2074
252	700	2068
253	702	2063
254	704	2058
255	707	2056
256	713	2061
257	714	2055
258	716	2049
259	718	2043
260	719	2038
261	721	2032
262	723	2028
263	726	2025
264	728	2020
265	730	2015
266	732	2010
267	734	2005
268	738	2008
269	742	2006
270	743	2000
271	745	1995
272	748	1994
273	753	1997
274	756	1994
275	759	1991
276	760	1986
277	763	1982
278	767	1983
279	789	2030
280	791	2026
281	794	2022
282	796	2017
283	803	2024
284	805	2020
285	807	2016
286	810	2013
287	812	2007
288	815	2007
289	818	2003
290	820	2000
291	852	2066
292	854	2062
293	856	2057
294	859	2054
295	862	2050
296	864	2045
297	866	2040
298	868	2035
299	869	2028
300	871	2023
301	879	2031
302	880	2026
303	882	2021
304	885	2016
305	887	2012
306	889	2006
307	891	2001
308	893	1997
309	896	1995
310	899	1991
311	901	1988
312	904	1984
313	906	1980
314	908	1976
315	911	1973
316	958	2065
317	960	2060
318	963	2056
319	965	2051
320	967	2046
321	971	2046
322	974	2042
323	976	2037
324	978	2032
